id_hex,clay_0to30cm_percent,silt_0to30cm_percent,sand_0to30cm_percent,ph_h2o_0to30cm,organic_carbon_0to30cm_percent,bdod_0to30cm,cfvo_0to30cm_percent
120,23.96402390735916,43.532621103157894,32.50335498948294,5.80902385204908,3.665279579525998,1.1969896721930349,13.051851952598764
319,33.54641149886269,42.54274629895416,23.910842202183154,7.120539846204271,2.675540362011505,1.380179383432409,15.239927032680052
565,23.396230709821914,48.809880818119055,27.79388847205903,6.850317592894072,2.917769886667646,1.2429902864279403,10.348468142401659
577,20.520869737998396,30.950337850103963,48.52879241189764,5.506220679601914,4.630728342911546,1.2930516003869224,14.121901893683827
626,20.948279455217538,31.671313667694704,47.380406877087765,5.573769200465518,4.866270268601453,1.267891587908646,14.381638137010942
1144,27.28630597651545,45.193449777187496,27.52024424629705,7.179623659611382,3.3848166269439197,1.2863896054395072,18.972211245698013
1105,38.64696858827523,48.77787200905145,12.575159402673318,6.604997533445671,2.8643041597953056,1.307288595125475,12.300439244140978
1045,38.28254704587819,50.82575526372078,10.891697690401035,6.491995912720251,2.9960779388118737,1.3300961915542633,15.945709713387373
796,23.086920671894138,34.23382425301206,42.6792550750938,5.9789489308107955,3.9618127126125584,1.2609320598654845,13.78999238905216
1227,29.185599508433985,38.97493951252261,31.839460979043402,6.110462300882079,5.883896989736595,1.1577085353706023,12.294054871792497
640,23.989013466094228,61.251981969080475,14.7590045648253,6.768831415956958,2.43164802907726,1.2782123369047105,12.95605954583873
847,31.93930503892916,49.13099311311931,18.92970184795153,6.7214564537672885,2.3802862343569755,1.3565408675294568,16.02639651542314
1276,21.73000133843742,39.10671945033076,39.163279211231824,6.180605481395719,6.770669259282224,1.0992710142767523,20.71505781654045
358,28.05033924316203,38.711818969700715,33.237841787137256,6.4310848867148085,2.7341169515126236,1.398821827608536,12.632827103172863
1119,33.742351518821216,48.25827118913912,17.99937729203966,6.41363063633178,2.9022758774944744,1.3509907656030682,12.053649712222205
1171,31.38088805531147,39.164217733539125,29.454894211149405,6.08804119562569,6.105059864922331,1.1032432848303393,10.063734151978561
742,28.830472797576128,39.63931378725313,31.530213415170742,7.514582457855935,2.202035253419891,1.4277774402606778,11.754615842325588
1157,34.6349676811152,47.479472768139296,17.885559550745505,6.222728512791143,3.175268131806771,1.3238502995301444,13.288018809753344
1013,30.338650767288335,43.4166509466975,26.24469828601416,7.607363619246092,3.3721876396620076,1.4301178679630129,9.156796216113497
415,31.846663897861532,47.25359076697714,20.899745335161327,6.9496438515674015,2.8236344412764733,1.4447965050278262,12.709953165878607
1122,35.77958710448928,48.42367883244843,15.796734063062285,6.759504125667215,2.586624481028053,1.3338673608216625,15.442806713447212
762,27.793945113506982,54.482625105853344,17.723429780639673,7.218637281591647,1.838233627834459,1.364013435441707,10.126033242209473
58,21.244512432825672,51.75168597321438,27.003801593959952,5.719441302239273,3.530183397484415,1.2613336657185843,12.281489766444308
908,28.52046415938853,51.332157945203335,20.147377895408138,6.380626235643278,3.465145936062165,1.3032153201709076,18.209325264645493
774,24.03439179887215,31.755223899467836,44.21038430166002,5.95673092796875,4.302611968065553,1.215780580828892,15.664149271971372
1363,30.344228040254176,35.057737938654185,34.598034021091635,6.649594009224671,4.204435266448061,1.236875639305838,17.74105833815612
735,27.22843380907667,50.913926348093355,21.857639842829975,6.560209446396127,2.3961471701874895,1.3307667260751719,12.498180306583837
214,23.106101925785342,56.71947097596201,20.174427098252647,5.9667741416917295,3.021059868286822,1.2637581299653076,12.952337828896324
354,26.892794628467612,49.93297982140695,23.174225550125435,6.46700770756601,2.8233949904981097,1.4300289080836064,13.173070221851953
